"BUSINESS YEAR","STATE CODE","ISSUER NAME","ISSUER ID","SOURCE NAME","VERSION NUMBER","IMPORT DATE","BENEFIT PACKAGE ID","MARKET COVERAGE","DENTAL ONLY PLAN",TIN,"STANDARD COMPONENT ID","PLAN MARKETING NAME","HIOS PRODUCT ID",HPID,"NETWORK ID","SERVICE AREA ID","FORMULARY ID","IS IT A NEW PLAN","PLAN TYPE","METAL LEVEL","UNIQUE PLAN DESIGN","QHP NONQHP TYPE ID","IS NOTICE REQUIRED FOR PREGNACY","IS REFERRAL REQUIRED FOR SPECIALIST","SPECIALIST REQUIRING REFERRAL","PLAN LEVEL EXCLUSIONS","IS HSA ELIGIBLE","HSA OR HRA EMPLOYER CONTRIBUTION","HSA OR HRA EMPLOYER CONTRIBUTION AMOUNT","CHILD ONLY OFFERING","CHILD ONLY PLAN ID","WELLNESS PROGRAM OFFERED","DISEASE MANAGEMENT PROGRAMS OFFERED","EHB PEDIATRIC DENTAL APPORTIONMENT QUANTITY","IS GUARANTEED RATE?","SPECIALITY DRUG MAXIMUM COINSURANCE","INPATIENT COPAYMENT MAXIMUM DAYS","BEGIN PRIMARY CARE COST SHARING AFTER NUMBER OF VISITS","BEGIN PRIMARY CARE DEDUCTIBLE COINSURANCE AFTER NUMBER OF COPAYS","PLAN EFFECTIVE DATE","PLAN EXPIRATION DATE","OUT OF COUNTRY COVERAGE","OUT OF COUNTRY COVERAGE DESCRIPTION","OUT OF SERVICE AREA COVERAGE","OUT OF SERVICE AREA COVERAGE DESCRIPTION","NATIONAL NETWORK","URL FOR SUMMARY OF BENEFITS COVERAGE","URL FOR ENROLLMENT PAYMENT","PLAN BROCHURE","FORMULARY URL","PLAN ID","CSR VARIATION TYPE","ISSUER ACTUARIAL VALUE","AV CALCULATOR OUTPUT NUMBER","MEDICAL DRUG DEDUCTIBLES INTEGRATED","MEDICAL DRUG MAXIMUM OUT OF POCKET INTEGRATED","MULTIPLE NETWORK TIERS","FIRST TIER UTILIZATION","SECOND TIER UTILIZATION","MEHB INN TIER 1 INDIVIDUAL MOOP","MEHB INN TIER 1 FAMILY MOOP","MEHB INN TIER 2 INDIVIDUAL MOOP","MEHB INN TIER 2 FAMILY MOOP","MEHB OUT OF NET INDIVIDUAL MOOP","MEHB OUT OF NET FAMILY MOOP","MEHB COMB INN OON INDIVIDUAL MOOP","MEHB COMB INN OON FAMILY MOOP","DEHB INN TIER 1 INDIVIDUAL MOOP","DEHB INN TIER 2 INDIVIDUAL MOOP","DEHB INN TIER 1 FAMILY MOOP","DEHB INN TIER 2 FAMILY MOOP","DEHB OUT OF NET INDIVIDUAL MOOP","DEHB OUT OF NET FAMILY MOOP","DEHB COMB INN OON INDIVIDUAL MOOP","DEHB COMB INN OON FAMILY MOOP","TEHB INN TIER 1 INDIVIDUAL MOOP","TEHB INN TIER 1 FAMILY MOOP","TEHB INN TIER 2 INDIVIDUAL MOOP","TEHB INN TIER 2 FAMILY MOOP","TEHB OUT OF NET INDIVIDUAL MOOP","TEHB OUT OF NET FAMILY MOOP","TEHB COMB INN OON INDIVIDUAL MOOP","TEHB COMB INN OON FAMILY MOOP","MEHB DED INN TIER1 INDIVIDUAL","MEHB DED INN TIER1 FAMILY","MEHB DED INN TIER1 COINSURNACE","MEHB DED INN TIER2 INDIVIDUAL","MEHB DED INN TIER2 FAMILY","MEHB DED INN TIER2 COINSURANCE","MEHB DED OUT OF NET INDIVIDUAL","MEHB DED OUT OF NET FAMILY","MEHB DED COMB INN OON INDIVIDUAL","MEHB DED COMB INN OON FAMILY","DEHB DED INN TIER1 INDIVIDUAL","DEHB DED INN TIER1 FAMILY","DEHB DED INN TIER1 COINSURNACE","DEHB DED INN TIER2 INDIVIDUAL","DEHB DED INN TIER2 FAMILY","DEHB DED INN TIER2 COINSURANCE","DEHB DED OUT OF NET INDIVIDUAL","DEHB DED OUT OF NET FAMILY","DEHB DED COMB INN OON INDIVIDUAL","DEHB DED COMB INN OON FAMILY","TEHB DED INN TIER 1 INDIVIDUAL","TEHB DED INN TIER 1 FAMILY","TEHB DED INN TIER 1 COINSURANCE","TEHB DED INN TIER 2 INDIVIDUAL","TEHB DED INN TIER 2 FAMILY","TEHB DED INN TIER 2 COINSURANCE","TEHB DED OUT OF NET INDIVIDUAL","TEHB DED OUT OF NET FAMILY","TEHB DED OUT COMB INN OON INDIVIDUAL","TEHB DED OUT COMB INN OON FAMILY","SBC HAVING A BABY DEDUCTIBLE","SBC HAVING A BABY COPAYMENT","SBC HAVING A BABY COINSURANCE","SBC HAVING A BABY LIMIT","SBC HAVING DIABETES DEDUCTIBLE","SBC HAVING  DIABETES COPAYMENT","SBC HAVING DIABETES COINSURANCE","SBC HAVING DIABETES LIMIT","EHB PERCENT PREMIUM","PLAN DESIGN TYPE","INSURANCE PLAN COMPOSITE PREMIUM AVAILABLE INDICATOR","PLAN VARIANT MARKETING NAME","SBC HAVING SIMPLE FRACTURE DEDUCTIBLE","SBC HAVING SIMPLE FRACTURE COPAYMENT","SBC HAVING SIMPLE FRACTURE COINSURANCE","SBC HAVING SIMPLE FRACTURE LIMIT"
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020163,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, FP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020163-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, FP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020164,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, FP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020164-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, FP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020165,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, DP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020165-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, DP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020166,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, DP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020166-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, DP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020167,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, Pediatric Dental",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020167-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29, Pediatric Dental","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020168,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020168-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep29","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020169,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental, DP, FP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020169-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental, DP, FP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020170,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, DP, FP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020170-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, DP, FP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020171,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental, FP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020171-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental, FP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020172,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, FP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020172-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, FP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020173,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental, DP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020173-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental, DP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020174,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, DP",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020174-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, DP","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020175,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020175-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25, Pediatric Dental","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020176,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25",78124NY102,,NYN012,NYS008,NYF002,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020176-01,"Standard Platinum On Exchange Plan",89.50%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$5,500 ","$5500 per person | $11000 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","$0 ","$0 per person | $0 per group",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$680 ","$0 ","$20 ","$0 ","$490 ","$0 ","$20 ",,,No,"Univera Access Platinum 1, NS, OON, Univera PPO Local, Dep25","$0 ","$780 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020225,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, DP, FP",78124NY102,,NYN012,NYS008,NYF029,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020225-01,"Standard Platinum On Exchange Plan",88.04%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,400 ","$4400 per person | $8800 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$980 ","$0 ","$20 ","$0 ","$1,410 ","$0 ","$20 ",,,No,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, DP, FP","$0 ","$830 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020226,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, DP, FP",78124NY102,,NYN012,NYS008,NYF029,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020226-01,"Standard Platinum On Exchange Plan",88.04%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,400 ","$4400 per person | $8800 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$980 ","$0 ","$20 ","$0 ","$1,410 ","$0 ","$20 ",,,No,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, DP, FP","$0 ","$830 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020227,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, FP",78124NY102,,NYN012,NYS008,NYF029,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020227-01,"Standard Platinum On Exchange Plan",88.04%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,400 ","$4400 per person | $8800 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$980 ","$0 ","$20 ","$0 ","$1,410 ","$0 ","$20 ",,,No,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, FP","$0 ","$830 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020228,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, FP",78124NY102,,NYN012,NYS008,NYF029,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020228-01,"Standard Platinum On Exchange Plan",88.04%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,400 ","$4400 per person | $8800 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$980 ","$0 ","$20 ","$0 ","$1,410 ","$0 ","$20 ",,,No,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, FP","$0 ","$830 ","$120 ","$0 "
2026,NY,,78124,SERFF,1,1/13/2026,,"SHOP (Small Group)",No,,78124NY1020229,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, DP",78124NY102,,NYN012,NYS008,NYF029,Existing,PPO,Platinum,Yes,Both,No,No,,,No,No,,"Allows Adult and Child-Only",,Yes,,,,,,,,1/1/2026,12/31/2026,Yes,"Emergency Services Only",Yes,"See contract for covered care",No,,,,,78124NY1020229-01,"Standard Platinum On Exchange Plan",88.04%,,No,Yes,No,100,,,,,,,,,,,,,,,,,,"$4,400 ","$4400 per person | $8800 per group",,,"$10,000 ","$10000 per person | $20000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$5,000 ","$5000 per person | $10000 per group","Not Applicable","per person not applicable | per group not applicable","Not Applicable","per person not applicable | per group not applicable",0.00%,,,,"$0 ","$0 per person | $0 per group","Not Applicable","per person not applicable | per group not applicable",,,,,,,,,,,"$0 ","$980 ","$0 ","$20 ","$0 ","$1,410 ","$0 ","$20 ",,,No,"Univera Access Platinum 4, NS, OON, Univera PPO Local, Dep29, Pediatric Dental, DP","$0 ","$830 ","$120 ","$0 "
